"filename", "language", "YAML", "Dart", "C++", "Python", "JSON", "HTML", "Properties", "Markdown", "XML", "Swift", "comment", "blank", "total"
"/Users/omarragab/Projects/kutub_fm/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 324, 0, 0, 0, 83, 407
"/Users/omarragab/Projects/kutub_fm/analysis_options.yaml", "YAML", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 4, 29
"/Users/omarragab/Projects/kutub_fm/android/app/google-services.json", "JSON", 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 54
"/Users/omarragab/Projects/kutub_fm/android/app/src/debug/AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 4, 1, 8
"/Users/omarragab/Projects/kutub_fm/android/app/src/main/AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 72, 0, 13, 8, 93
"/Users/omarragab/Projects/kutub_fm/android/app/src/main/res/drawable-v21/launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 7, 2, 13
"/Users/omarragab/Projects/kutub_fm/android/app/src/main/res/drawable/launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 7, 2, 13
"/Users/omarragab/Projects/kutub_fm/android/app/src/main/res/mipmap-anydpi-v26/launcher_icon.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 1, 10
"/Users/omarragab/Projects/kutub_fm/android/app/src/main/res/values-night/styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 9, 1, 19
"/Users/omarragab/Projects/kutub_fm/android/app/src/main/res/values/colors.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 4
"/Users/omarragab/Projects/kutub_fm/android/app/src/main/res/values/strings.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 1, 2, 10
"/Users/omarragab/Projects/kutub_fm/android/app/src/main/res/values/styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 9, 1, 19
"/Users/omarragab/Projects/kutub_fm/android/app/src/profile/AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 4, 1, 8
"/Users/omarragab/Projects/kutub_fm/android/build/reports/problems/problems-report.html", "HTML", 0, 0, 0, 0, 0, 548, 0, 0, 0, 0, 2, 114, 664
"/Users/omarragab/Projects/kutub_fm/android/gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 3
"/Users/omarragab/Projects/kutub_fm/android/gradle/wrapper/gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"/Users/omarragab/Projects/kutub_fm/devtools_options.yaml", "YAML", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/omarragab/Projects/kutub_fm/download_assets.py", "Python", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 5, 25
"/Users/omarragab/Projects/kutub_fm/firebase.json", "JSON", 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 1, 42
"/Users/omarragab/Projects/kutub_fm/firebase_integration_status.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 74, 0, 0, 0, 21, 95
"/Users/omarragab/Projects/kutub_fm/fix_svgs.py", "Python", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 1, 4, 18
"/Users/omarragab/Projects/kutub_fm/get_books.py", "Python", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 2, 19
"/Users/omarragab/Projects/kutub_fm/ios/Runner/AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 3, 21
"/Users/omarragab/Projects/kutub_fm/ios/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
